bbl,bin,jobnum,year,units,counits,parktype
2034360114,2127391,200862183,2016,2.0,2,required - low density
2034360115,2127390,200862192,2016,2.0,2,required - low density
2034360116,2127389,200862209,2016,2.0,2,required - low density
2034360117,2127388,200862218,2016,2.0,2,required - low density
2034360118,2127387,200862227,2016,2.0,2,required - low density
2034360119,2127386,200862236,2016,2.0,2,required - low density
2034360120,2127385,200862245,2017,2.0,2,required - low density
2034360121,2127384,200862254,2017,2.0,2,required - low density
2034360122,2127383,200862263,2017,2.0,2,required - low density
2034360123,2127382,200862272,2017,2.0,2,required - low density
2034360124,2127381,200862281,2017,2.0,2,required - low density
2034360125,2127380,200862290,2017,2.0,2,required - low density
2034360126,2127379,200862307,2017,2.0,2,required - low density
2034360128,2127377,200862325,2017,2.0,2,required - low density
2034360129,2127376,200862334,2017,2.0,2,required - low density
2034360130,2127375,200862343,2017,2.0,2,required - low density
2034360131,2127374,200862352,2017,2.0,2,required - low density
2034360132,2127373,200862361,2017,2.0,2,required - low density
2034360133,2127372,200862370,2017,2.0,2,required - low density
2034360134,2127371,200862389,2015,2.0,2,required - low density
2034360135,2127370,200862398,2015,2.0,2,required - low density
2034360136,2127369,200862405,2015,2.0,2,required - low density
2034360137,2127368,200862414,2015,2.0,2,required - low density
2034360148,2127357,200862423,2015,2.0,2,required - low density
2034360149,2127356,200862432,2015,2.0,2,required - low density
2034360150,2127355,200862441,2015,2.0,2,required - low density
2034360151,2127354,200862450,2015,2.0,2,required - low density
2034360152,2127353,200862469,2015,2.0,2,required - low density
2034360153,2127352,200862478,2015,2.0,2,required - low density
2034360154,2127351,200862487,2015,2.0,2,required - low density
2034360155,2127350,200862496,2015,2.0,2,required - low density
2034360156,2127349,200862502,2015,2.0,2,required - low density
2034360157,2127348,200862511,2015,2.0,2,required - low density
2034360158,2127347,200862520,2015,2.0,2,required - low density
2034360159,2127346,200862539,2015,2.0,2,required - low density
2034360160,2127345,200862548,2015,2.0,2,required - low density
2034360161,2127344,200862557,2015,2.0,2,required - low density
2034360162,2127343,200862566,2015,2.0,2,required - low density
2034360163,2127342,200862575,2015,2.0,2,required - low density
2034360164,2127341,200862584,2015,2.0,2,required - low density
2034360165,2127340,200862593,2015,2.0,2,required - low density
2034360166,2127339,200862600,2015,2.0,2,required - low density
2034360112,2127392,200863583,2016,2.0,2,required - low density
2038780150,2114063,200864895,2016,3.0,3,required - low density
2042710045,2116465,200869505,2013,1.0,1,required - low density
2053590018,2073789,200874143,2011,2.0,2,required - low density
2055190127,2118401,200875874,2011,2.0,2,required - low density
2055190129,2118402,200875883,2011,2.0,2,required - low density
2046150019,2114774,200879825,2013,3.0,3,not permitted
2037880014,2128435,200902568,2018,3.0,3,required - low density
2047910128,2125912,200906109,2015,2.0,2,required - low density
2047910127,2125913,200906118,2015,2.0,2,required - low density
2047910126,2125914,200906127,2016,2.0,2,required - low density
2047910125,2125915,200906136,2016,2.0,2,required - low density
2047910124,2125916,200906145,2016,2.0,2,required - low density
2047910123,2125917,200906154,2016,2.0,2,required - low density
2047910122,2125918,200906163,2016,2.0,2,required - low density
2047910021,2113668,200906172,2016,2.0,2,required - low density
2047910121,2127044,200906181,2016,2.0,2,required - low density
2047910129,2127042,200906190,2015,2.0,2,required - low density
2056000013,2115262,200907475,2011,2.0,2,required - low density
2056000113,2116929,200907484,2011,2.0,2,required - low density
2048360028,2063310,200909570,2010,2.0,2,required - low density
2056000075,2081549,200910238,2012,2.0,2,required - low density
2056000175,2119410,200910247,2012,2.0,2,required - low density
2037890060,2114918,200910318,2011,2.0,2,required - low density
2054630007,2116312,200910522,2011,2.0,2,required - low density
